"ID","nBites","BiteSize_g","ActiveMeal_pcent","BiteOE_sec","TotalOE_min","TotalIntake_g","EatRate","MealDur_min","theta","r","FPM_value","FPM_counts","FPM_counts_gradiant","FPM_convergence","FPM_method","int","linear","quad","Kissileff_value","Kissileff_counts","Kissileff_counts_gradiant","Kissileff_convergence","Kissileff_method"
1,91,1.29887881924234,83.1862404587825,10.1126509897297,15.274064645021,118.197972551053,7.73847533698782,18.3612873484637,16.7501224558805,0.211905538614134,527.000267961628,77,NA,0,"FPM_Fit",0.827733922769641,18.3012953424052,-0.679100249576266,621.972726484205,144,NA,0,"Kissileff_Fit"
2,72,1.73909543776927,74.2656017349012,10.2968523206337,12.2789995885619,125.214871519387,10.1974815306637,16.5338990080402,23.1909805682734,0.0648486826460459,413.349731096399,101,NA,0,"FPM_Fit",6.82008213845591,17.6829966027839,-0.667654418502169,436.15882316572,164,NA,0,"Kissileff_Fit"
3,109,0.207268431854233,97.2706268522066,3.51976451134626,6.37452617540206,22.5922590721114,3.54414719627165,6.55339271647498,11.8681003812235,1.13338832361624,267.222516276117,49,NA,0,"FPM_Fit",1.79087603446885,11.3912222800924,-1.3409172926023,422.346096148817,116,NA,0,"Kissileff_Fit"
4,29,1.37932152289329,80.2321952302617,34.4017238164273,16.8200949597804,40.0003241639055,2.37812713064657,20.9642711526311,5.44414609960538,0.0420961098766823,98.6224822898297,99,NA,0,"FPM_Fit",2.64340464844995,4.01304151851415,-0.110060563111988,96.372736390492,194,NA,0,"Kissileff_Fit"
5,32,2.83787557632348,60.2884024914654,21.5923185136631,11.5276092037011,90.8120184423514,7.87778426884862,19.1207740250424,20.2786903639515,-0.0851126939839346,222.374527797768,87,NA,0,"FPM_Fit",8.33348380255273,10.6610181912755,-0.353194870570743,268.428703382463,140,NA,0,"Kissileff_Fit"
6,57,1.0039363047554,73.5067078597204,14.0606337341715,13.3234002318452,57.2243693710579,4.29502742357629,18.1254209578689,14.6131161234087,0.0779448796215869,205.477784586765,77,NA,0,"FPM_Fit",4.52316429079527,9.57418476966504,-0.378342257964075,309.269265286218,166,NA,0,"Kissileff_Fit"
7,78,3.05656099662012,71.9631054390255,13.8603783934416,18.0727774904068,238.411757736369,13.1917608050517,25.1139488494141,27.2386763423781,0.0600096208712852,647.82237426612,89,NA,0,"FPM_Fit",10.5057577943631,22.6945532408961,-0.576973370967908,704.706204512236,284,NA,0,"Kissileff_Fit"
8,89,2.35944665498019,71.4126130795268,8.91455304510722,13.2060795169881,209.990752293237,15.9010667793654,18.4926428924838,25.2720970160262,0.142351369726455,724.870717673297,83,NA,0,"FPM_Fit",5.40041749281367,25.698526082469,-0.81282072896552,698.61850245705,228,NA,0,"Kissileff_Fit"
9,36,2.96844581619918,81.9986895517017,23.7653228718885,14.1137981222377,106.86404938317,7.57160109969233,17.2122239994319,20.7347169088496,0.0554242291544146,345.505803719459,73,NA,0,"FPM_Fit",7.53872067124434,14.9580839160425,-0.544385319420857,325.540947598291,210,NA,0,"Kissileff_Fit"
10,65,1.69552053342394,84.2299008029531,16.9115955995534,18.3978129304312,110.208834672556,5.99032260461043,21.8423775346369,10.082069750155,0.202366479642538,314.323896930446,117,NA,0,"FPM_Fit",-0.901163619024846,13.2617448120244,-0.386418601698073,380.033190457823,146,NA,0,"Kissileff_Fit"
11,105,1.81542363948391,94.6517009381098,6.32533043505601,11.0993944012201,190.619482145811,17.1738632987811,11.7265662330545,72.8844599085074,0.0781879969133112,718.456917018153,103,NA,0,"FPM_Fit",14.740691521682,47.2888147208621,-3.0324066641015,1147.8692868053,170,NA,0,"Kissileff_Fit"
12,20,2.99886828069606,83.9637194562167,37.1639930522776,12.5060876263871,59.9773656139212,4.79585361991008,14.894632714441,12.172892707164,0.125212699481262,70.6241186506578,75,NA,0,"FPM_Fit",3.45337102618264,9.79243648643825,-0.410503566303785,82.9178633290441,174,NA,0,"Kissileff_Fit"
13,62,1.55717226455414,96.3839195085016,14.7737631765565,15.3532779779033,96.5446804023569,6.288212884656,15.9292940733221,24.9250776958788,0.315124584837863,372.848470033405,125,NA,0,"FPM_Fit",6.98448010464499,20.6513529218119,-0.975580445114727,528.134739879765,210,NA,0,"Kissileff_Fit"
14,40,1.55277087771942,90.8825940550546,18.6500072387923,12.3122283177886,62.1108351087769,5.04464614411348,13.547399747778,13.5683906801794,0.0472375931270154,199.192552139632,69,NA,0,"FPM_Fit",3.86883614361251,9.78075484712208,-0.416681406780795,183.528315641451,148,NA,0,"Kissileff_Fit"
15,100,3.06362129708179,83.2858865198542,10.0874754407454,16.7712263238417,306.362129708179,18.2671275071078,20.1369367904173,53.1036027071162,0.166763466787731,867.527133840916,97,NA,0,"FPM_Fit",12.5922351668989,46.7949469299195,-1.72120539939417,1200.73229461257,238,NA,0,"Kissileff_Fit"
16,43,2.98512568479971,78.8539422713027,28.0231774830982,19.8703301215707,128.360404446388,6.45990296391919,25.1989051520157,13.2778896236466,0.172084316308668,296.794474463577,69,NA,0,"FPM_Fit",1.55142287862927,14.548755892108,-0.397602925060741,388.049700060367,188,NA,0,"Kissileff_Fit"
17,49,1.87365727687888,93.219863439776,21.4152840690551,17.4064598322591,91.8092065670652,5.27443302382008,18.6724794372869,13.5638344141855,0.126124383323812,252.892756518331,81,NA,0,"FPM_Fit",4.3274859652129,12.0384478474213,-0.408677950729585,278.441861265031,176,NA,0,"Kissileff_Fit"
18,61,2.58569949616712,84.0667522323609,24.6878912234053,25.1060702705457,157.727669266194,6.28245151736231,29.8644465307192,20.355552050109,0.0831341750029018,376.768207598225,85,NA,0,"FPM_Fit",10.1642117385051,15.5848357921039,-0.384457082608691,610.830029692097,294,NA,0,"Kissileff_Fit"
19,56,1.87869489972483,99.997354676478,17.2252827687089,16.1988807448107,105.206914384591,6.49470269223961,16.1993092689492,9.86085453425925,0.239482945838207,342.50658676719,65,NA,0,"FPM_Fit",-1.54665718651092,14.1178221850464,-0.472822710381116,383.148715156094,212,NA,0,"Kissileff_Fit"
20,20,3.53306980414054,73.6781304042962,37.8891595243558,12.8387160883152,70.6613960828107,5.50377433356603,17.4254097082336,8.35611727319744,0.0508538735597156,153.07325691076,63,NA,0,"FPM_Fit",3.03554398404746,6.62361057626922,-0.162029866394983,151.187863321094,222,NA,0,"Kissileff_Fit"
21,16,3.14363257264519,57.4162127952957,17.9039581979968,4.87846186255139,50.298121162323,10.3102417482091,8.49666257150122,6.19036725186895,0.461021619511783,85.1661049191196,129,NA,0,"FPM_Fit",-7.99594365851663,13.5866261513746,-0.818370679905396,74.7946188198796,196,NA,0,"Kissileff_Fit"
22,115,1.43545041451341,97.1392087630104,12.2139530503252,23.495562703128,165.076797669043,7.02587121469816,24.1875170719682,17.6612537167241,0.22616387698948,628.186242022446,87,NA,0,"FPM_Fit",1.45947352225256,21.2743345962637,-0.62147816013177,825.688045072959,210,NA,0,"Kissileff_Fit"
23,45,3.30241057660694,63.049372853272,16.0000701818842,11.9947504051383,148.608475947312,12.3894596325782,19.0243770275914,24.8961238364073,0.0940995363778138,312.049904256821,153,NA,0,"FPM_Fit",6.81906584691532,20.2973669607797,-0.702954275934293,370.221461365574,250,NA,0,"Kissileff_Fit"
24,39,0.979719591934692,83.1825090304767,30.0783511514203,19.5121863068083,38.209064085453,1.95821541905434,23.4570783380186,2.97608393803525,0.165576314511078,99.0842838738122,91,NA,0,"FPM_Fit",-0.425914069719099,3.90375869529503,-0.0982715856173321,112.618852134581,252,NA,0,"Kissileff_Fit"
25,36,4.015986596213,97.2889721626386,30.8644221405167,18.5420417030281,144.575517463668,7.79717356800345,19.0587291558916,26.3677731024555,0.148880480622346,247.888056466294,89,NA,0,"FPM_Fit",9.36007302440813,21.161262645705,-0.774024269656655,348.799748246425,180,NA,0,"Kissileff_Fit"
26,43,5.18134170899714,65.5375582251846,24.836142465484,17.6913438453495,222.797693486877,12.5935991880823,26.9942065655889,19.3801182007294,0.117709652751251,382.527215634924,93,NA,0,"FPM_Fit",4.54865775144491,20.3595770964081,-0.455838570724843,336.950739119326,162,NA,0,"Kissileff_Fit"
